symbol,name
EIHAHOTELS.NS,Eih Associated Hotels Limited
EIHOTEL.NS,Eih Limited
EIMCOELECO.NS,Eimco Elecon (India) Limited
EKC.NS,Everest Kanto Cylinder Limited
ELDEHSG.NS,Eldeco Housing And Industries Limited
ELECON.NS,Elecon Engineering Company Limited
ELECTCAST.NS,Electrosteel Castings Limited
ELECTHERM.NS,Electrotherm (India) Limited
ELGIEQUIP.NS,Elgi Equipments Limited
ELGIRUBCO.NS,Elgi Rubber Company Limited
ELIN.NS,Elin Electronics Limited
ELLEN.NS,Ellenbarrie Industrial Gases Limited
EMAMILTD.NS,Emami Limited
EMAMIPAP.NS,Emami Paper Mills Limited
EMAMIREAL.NS,Emami Realty Limited
EMBDL.NS,Embassy Developments Limited
EMCURE.NS,Emcure Pharmaceuticals Limited
EMIL.NS,Electronics Mart India Limited
EMKAY.NS,Emkay Global Financial Services Limited
EMMBI.NS,Emmbi Industries Limited
EMMVEE.NS,Emmvee Photovoltaic Power Limited
EMSLIMITED.NS,Ems Limited
EMUDHRA.NS,Emudhra Limited
ENDURANCE.NS,Endurance Technologies Limited
ENERGYDEV.NS,Energy Development Company Limited
ENGINERSIN.NS,Engineers India Limited
ENIL.NS,Entertainment Network (India) Limited
ENRIN.NS,Siemens Energy India Limited
ENTERO.NS,Entero Healthcare Solutions Limited
EPACK.NS,Epack Durable Limited
EPACKPEB.NS,Epack Prefab Technologies Limited
EPIGRAL.NS,Epigral Limited
EPL.NS,Epl Limited
EQUIPPP.NS,Equippp Social Impact Technologies Limited
EQUITASBNK.NS,Equitas Small Finance Bank Limited
ERIS.NS,Eris Lifesciences Limited
ESABINDIA.NS,Esab India Limited
ESAFSFB.NS,Esaf Small Finance Bank Limited
ESCORTS.NS,Escorts Kubota Limited
ESSARSHPNG.NS,Essar Shipping Limited
ESSENTIA.NS,Integra Essentia Limited
ESTER.NS,Ester Industries Limited
ETERNAL.NS,Eternal Limited
ETHOSLTD.NS,Ethos Limited
EUREKAFORB.NS,Eureka Forbes Limited
EUROBOND.NS,Euro Panel Products Limited
EUROPRATIK.NS,Euro Pratik Sales Limited
EUROTEXIND.NS,Eurotex Industries And Exports Limited
EVEREADY.NS,Eveready Industries India Limited
EVERESTIND.NS,Everest Industries Limited
EXCEL.NS,Excel Realty N Infra Limited
EXCELINDUS.NS,Excel Industries Limited
EXCELSOFT.NS,Excelsoft Technologies Limited
EXICOM.NS,Exicom Tele-Systems Limited
EXIDEIND.NS,Exide Industries Limited
EXPLEOSOL.NS,Expleo Solutions Limited
EXXARO.NS,Exxaro Tiles Limited
FABTECH.NS,Fabtech Technologies Limited
FACT.NS,Fertilizers And Chemicals Travancore Limited
FAIRCHEMOR.NS,Fairchem Organics Limited
FAZE3Q.NS,Faze Three Limited
FCL.NS,Fineotex Chemical Limited
FCONSUMER.NS,Future Consumer Limited
FCSSOFT.NS,Fcs Software Solutions Limited
FDC.NS,Fdc Limited
FEDERALBNK.NS,The Federal Bank  Limited
FEDFINA.NS,Fedbank Financial Services Limited
FEL.NS,Future Enterprises Limited
FELDVR.NS,Future Enterprises Limited
FIBERWEB.NS,Fiberweb (India) Limited
FIEMIND.NS,Fiem Industries Limited
FILATEX.NS,Filatex India Limited
FILATFASH.NS,Filatex Fashions Limited
FINCABLES.NS,Finolex Cables Limited
FINEORG.NS,Fine Organic Industries Limited
FINKURVE.NS,Finkurve Financial Services Limited
FINOPB.NS,Fino Payments Bank Limited
FINPIPE.NS,Finolex Industries Limited
FIRSTCRY.NS,Brainbees Solutions Limited
FISCHER.NS,Fischer Medical Ventures Limited
FIVESTAR.NS,Five-Star Business Finance Limited
FLAIR.NS,Flair Writing Industries Limited
FLEXITUFF.NS,Flexituff Ventures International Limited
FLFL.NS,Future Lifestyle Fashions Limited
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited
FMGOETZE.NS,Federal-Mogul Goetze (India) Limited.
FMNL.NS,Future Market Networks Limited
FOCUS.NS,Focus Lighting And Fixtures Limited
FOODSIN.NS,Foods & Inns Limited
FORCEMOT.NS,Force Motors Ltd
FORTIS.NS,Fortis Healthcare Limited
FOSECOIND.NS,Foseco India Limited
FSL.NS,Firstsource Solutions Limited
FUSION.NS,Fusion Finance Limited
GABRIEL.NS,Gabriel India Limited
GAEL.NS,Gujarat Ambuja Exports Limited
GAIL.NS,Gail (India) Limited
GALAPREC.NS,Gala Precision Engineering Limited
GALAXYSURF.NS,Galaxy Surfactants Limited
GALLANTT.NS,Gallantt Ispat Limited
GANDHAR.NS,Gandhar Oil Refinery (India) Limited
GANDHITUBE.NS,Gandhi Special Tubes Limited
GANECOS.NS,Ganesha Ecosphere Limited
GANESHBE.NS,Ganesh Benzoplast Limited
GANESHCP.NS,Ganesh Consumer Products Limited
GANESHHOU.NS,Ganesh Housing Limited
GANGAFORGE.NS,Ganga Forging Limited
GANGESSECU.NS,Ganges Securities Limited
GARFIBRES.NS,Garware Technical Fibres Limited
GARUDA.NS,Garuda Construction And Engineering Limited
GATECH.NS,Gacm Technologies Limited
GATECHDVR.NS,Gacm Technologies Limited
GATEWAY.NS,Gateway Distriparks Limited
GAYAHWS.NS,Gayatri Highways Limited
GAYAPROJ.NS,Gayatri Projects Limited
GCSL.NS,Gretex Corporate Services Limited
GEECEE.NS,Geecee Ventures Limited
GEEKAYWIRE.NS,Geekay Wires Limited
GEMAROMA.NS,Gem Aromatics Limited
GENCON.NS,Generic Engineering Construction And Projects Limited
GENESYS.NS,Genesys International Corporation Limited
GENSOL.NS,Gensol Engineering Limited
GENUSPAPER.NS,Genus Paper & Boards Limited
GENUSPOWER.NS,Genus Power Infrastructures Limited
GEOJITFSL.NS,Geojit Financial Services Limited
GESHIP.NS,The Great Eastern Shipping Company Limited
GFLLIMITED.NS,Gfl Limited
GFSTEELS.NS,Grand Foundry Limited
GHCL.NS,Ghcl Limited
GHCLTEXTIL.NS,Ghcl Textiles Limited
GICHSGFIN.NS,Gic Housing Finance Limited
GICRE.NS,General Insurance Corporation Of India
GILLANDERS.NS,Gillanders Arbuthnot & Company Limited
GILLETTE.NS,Gillette India Limited
GINNIFILA.NS,Ginni Filaments Limited
GIPCL.NS,Gujarat Industries Power Company Limited
GKENERGY.NS,Gk Energy Limited
GKSL.NS,Gujarat Kidney And Super Speciality Limited
GKWLIMITED.NS,Gkw Limited
GLAND.NS,Gland Pharma Limited
GLAXO.NS,Glaxosmithkline Pharmaceuticals Limited
GLENMARK.NS,Glenmark Pharmaceuticals Limited
GLFL.NS,Gujarat Lease Financing Limited
GLOBAL.NS,Global Education Limited
GLOBALE.NS,Globale Tessile Limited
GLOBALVECT.NS,Global Vectra Helicorp Limited
GLOBE.NS,Globe Enterprises (India) Limited
GLOBECIVIL.NS,Globe Civil Projects Limited
GLOBUSSPR.NS,Globus Spirits Limited
GLOSTERLTD.NS,Gloster Limited
GLOTTIS.NS,Glottis Limited
GMBREW.NS,Gm Breweries Limited
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR.NS,Gmm Pfaudler Limited
GMRAIRPORT.NS,Gmr Airports Limited
GMRP&UI.NS,Gmr Power And Urban Infra Limited
GNA.NS,Gna Axles Limited
GNFC.NS,Gujarat Narmada Valley Fertilizers And Chemicals Limited
GOACARBON.NS,Goa Carbon Limited
GOCLCORP.NS,Gocl Corporation Limited
GOCOLORS.NS,Go Fashion (India) Limited
GODAVARIB.NS,Godavari Biorefineries Limited
GODFRYPHLP.NS,Godfrey Phillips India Limited
GODIGIT.NS,Go Digit General Insurance Limited
GODREJAGRO.NS,Godrej Agrovet Limited
GODREJCP.NS,Godrej Consumer Products Limited
GODREJIND.NS,Godrej Industries Limited
GODREJPROP.NS,Godrej Properties Limited
GOKEX.NS,Gokaldas Exports Limited
GOKUL.NS,Gokul Refoils And Solvent Limited
GOKULAGRO.NS,Gokul Agro Resources Limited
GOLDENTOBC.NS,Golden Tobacco Limited
GOLDIAM.NS,Goldiam International Limited
GOLDTECH.NS,Aion-Tech Solutions Limited
GOODLUCK.NS,Goodluck India Limited
GOPAL.NS,Gopal Snacks Limited
GOYALALUM.NS,Goyal Aluminiums Limited
GPIL.NS,Godawari Power And Ispat Limited
GPPL.NS,Gujarat Pipavav Port Limited
GPTHEALTH.NS,Gpt Healthcare Limited
GPTINFRA.NS,Gpt Infraprojects Limited
GRANULES.NS,Granules India Limited
GRAPHITE.NS,Graphite India Limited
GRASIM.NS,Grasim Industries Limited
GRAVITA.NS,Gravita India Limited
GREAVESCOT.NS,Greaves Cotton Limited
GREENLAM.NS,Greenlam Industries Limited
GREENPANEL.NS,Greenpanel Industries Limited
GREENPLY.NS,Greenply Industries Limited
GREENPOWER.NS,Orient Green Power Company Limited
GRINDWELL.NS,Grindwell Norton Limited
GRINFRA.NS,G R Infraprojects Limited
GRMOVER.NS,Grm Overseas Limited
GROBTEA.NS,The Grob Tea Company Limited
GROWW.NS,Billionbrains Garage Ventures Limited
GRPLTD.NS,Grp Limited
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited
GRWRHITECH.NS,Garware Hi-Tech Films Limited
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited
GSLSU.NS,Global Surfaces Limited
GSPL.NS,Gujarat State Petronet Limited
GSS.NS,Gss Infotech Limited
GTECJAINX.NS,G-Tec Jainx Education Limited
GTL.NS,Gtl Limited
GTLINFRA.NS,Gtl Infrastructure Limited
GTPL.NS,Gtpl Hathway Limited
GUFICBIO.NS,Gufic Biosciences Limited
GUJALKALI.NS,Gujarat Alkalies And Chemicals Limited
GUJAPOLLO.NS,Gujarat Apollo Industries Limited
GUJGASLTD.NS,Gujarat Gas Limited
GUJRAFFIA.NS,Gujarat Raffia Industries Limited
GUJTHEM.NS,Gujarat Themis Biosyn Limited
GULFOILLUB.NS,Gulf Oil Lubricants India Limited
GULFPETRO.NS,Gp Petroleums Limited
GULPOLY.NS,Gulshan Polyols Limited
GVKPIL.NS,Gvk Power & Infrastructure Limited
GVPIL.NS,Ge Power India Limited
GVPTECH.NS,Gvp Infotech Limited
GVT&D.NS,Ge Vernova T&D India Limited
HAL.NS,Hindustan Aeronautics Limited
HALDER.NS,Halder Venture Limited
HALEOSLABS.NS,Haleos Labs Limited
HAPPSTMNDS.NS,Happiest Minds Technologies Limited
HAPPYFORGE.NS,Happy Forgings Limited
HARDWYN.NS,Hardwyn India Limited
HARIOMPIPE.NS,Hariom Pipe Industries Limited
HARRMALAYA.NS,Harrisons  Malayalam Limited
HARSHA.NS,Harsha Engineers International Limited
HATHWAY.NS,Hathway Cable & Datacom Limited
HATSUN.NS,Hatsun Agro Product Limited
HAVELLS.NS,Havells India Limited
HAVISHA.NS,Sri Havisha Hospitality And Infrastructure Limited
HBLENGINE.NS,Hbl Engineering Limited
HBSL.NS,Hb Stockholdings Limited
HCC.NS,Hindustan Construction Company Limited
HCG.NS,Healthcare Global Enterprises Limited
HCL-INSYS.NS,Hcl Infosystems Limited
HCLTECH.NS,Hcl Technologies Limited
HDBFS.NS,Hdb Financial Services Limited
HDFCAMC.NS,Hdfc Asset Management Company Limited
HDFCBANK.NS,Hdfc Bank Limited
HDFCLIFE.NS,Hdfc Life Insurance Company Limited
HDIL.NS,Housing Development And Infrastructure Limited
HEADSUP.NS,Heads Up Ventures Limited
HECPROJECT.NS,Hec Infra Projects Limited
HEG.NS,Heg Limited
HEIDELBERG.NS,Heidelbergcement India Limited
HEMIPROP.NS,Hemisphere Properties India Limited
HERANBA.NS,Heranba Industries Limited
HERITGFOOD.NS,Heritage Foods Limited
HEROMOTOCO.NS,Hero Motocorp Limited
HESTERBIO.NS,Hester Biosciences Limited
HEXATRADEX.NS,Hexa Tradex Limited
HEXT.NS,Hexaware Technologies Limited
HFCL.NS,Hfcl Limited
HGINFRA.NS,H.G. Infra Engineering Limited
HGM.NS,Handson Global Management (Hgm) Limited
HGS.NS,Hinduja Global Solutions Limited
HIKAL.NS,Hikal Limited
HILINFRA.NS,Highway Infrastructure Limited
HILTON.NS,Hilton Metal Forging Limited
HIMATSEIDE.NS,Himatsingka Seide Limited
HINDALCO.NS,Hindalco Industries Limited
HINDCOMPOS.NS,Hindustan Composites Limited
HINDCON.NS,Hindcon Chemicals Limited
HINDCOPPER.NS,Hindustan Copper Limited
HINDOILEXP.NS,Hindustan Oil Exploration Company Limited
HINDPETRO.NS,Hindustan Petroleum Corporation Limited
HINDUNILVR.NS,Hindustan Unilever Limited
HINDWAREAP.NS,Hindware Home Innovation Limited
HINDZINC.NS,Hindustan Zinc Limited
HIRECT.NS,Hind Rectifiers Limited
HISARMETAL.NS,Hisar Metal Industries Limited
HITECH.NS,Hi-Tech Pipes Limited
HITECHCORP.NS,Hitech Corporation Limited
HITECHGEAR.NS,The Hi-Tech Gears Limited
HLEGLAS.NS,Hle Glascoat Limited
HLVLTD.NS,Hlv Limited
HMAAGRO.NS,Hma Agro Industries Limited
HMT.NS,Hmt Limited
HMVL.NS,Hindustan Media Ventures Limited
HNDFDS.NS,Hindustan Foods Limited
HOMEFIRST.NS,Home First Finance Company India Limited
HONASA.NS,Honasa Consumer Limited
HONAUT.NS,Honeywell Automation India Limited
HONDAPOWER.NS,Honda India Power Products Limited
HPAL.NS,Hp Adhesives Limited
HPIL.NS,Hindprakash Industries Limited
HPL.NS,Hpl Electric & Power Limited
HSCL.NS,Himadri Speciality Chemical Limited
HTMEDIA.NS,Ht Media Limited
HUBTOWN.NS,Hubtown Limited
HUDCO.NS,Housing & Urban Development Corporation Limited
HUHTAMAKI.NS,Huhtamaki India Limited
HYBRIDFIN.NS,Hybrid Financial Services Limited
HYUNDAI.NS,Hyundai Motor India Limited
IBULLSLTD.NS,Indiabulls Limited
ICDSLTD.NS,Icds Limited
ICEMAKE.NS,Ice Make Refrigeration Limited
ICICIAMC.NS,Icici Prudential Asset Management Company Limited
ICICIBANK.NS,Icici Bank Limited
ICICIGI.NS,Icici Lombard General Insurance Company Limited
ICICIPRULI.NS,Icici Prudential Life Insurance Company Limited
ICIL.NS,Indo Count Industries Limited
ICRA.NS,Icra Limited
IDBI.NS,Idbi Bank Limited
IDEA.NS,Vodafone Idea Limited
IDEAFORGE.NS,Ideaforge Technology Limited
IDFCFIRSTB.NS,Idfc First Bank Limited
IEX.NS,Indian Energy Exchange Limited
IFBAGRO.NS,Ifb Agro Industries Limited
IFBIND.NS,Ifb Industries Limited
IFCI.NS,Ifci Limited
IFGLEXPOR.NS,Ifgl Refractories Limited
IGARASHI.NS,Igarashi Motors India Limited
IGCL.NS,Indogulf Cropsciences Limited
IGIL.NS,International Gemmological Institute (India) Limited
IGL.NS,Indraprastha Gas Limited
IGPL.NS,Ig Petrochemicals Limited
IIFL.NS,Iifl Finance Limited
IIFLCAPS.NS,Iifl Capital Services Limited
IITL.NS,Industrial Investment Trust Limited
IKIO.NS,Ikio Technologies Limited
IKS.NS,Inventurus Knowledge Solutions Limited
IL&FSENGG.NS,Il&Fs Engineering And Construction Company Limited
IL&FSTRANS.NS,Il&Fs Transportation Networks Limited
IMAGICAA.NS,Imagicaaworld Entertainment Limited
IMFA.NS,Indian Metals & Ferro Alloys Limited
IMPAL.NS,India Motor Parts And Accessories Limited
IMPEXFERRO.NS,Impex Ferro Tech Limited
INCREDIBLE.NS,Incredible Industries Limited
INDBANK.NS,Indbank Merchant Banking Services Limited
INDGN.NS,Indegene Limited
INDHOTEL.NS,The Indian Hotels Company Limited
INDIACEM.NS,The India Cements Limited
INDIAGLYCO.NS,India Glycols Limited
INDIAMART.NS,Indiamart Intermesh Limited
INDIANB.NS,Indian Bank
INDIANCARD.NS,Indian Card Clothing Company Limited
INDIANHUME.NS,Indian Hume Pipe Company Limited
INDIASHLTR.NS,India Shelter Finance Corporation Limited
INDIGO.NS,Interglobe Aviation Limited
INDIGOPNTS.NS,Indigo Paints Limited
INDIQUBE.NS,Indiqube Spaces Limited
INDNIPPON.NS,India Nippon Electricals Limited
INDOAMIN.NS,Indo Amines Limited
INDOBORAX.NS,Indo Borax & Chemicals Limited
INDOCO.NS,Indoco Remedies Limited
INDOFARM.NS,Indo Farm Equipment Limited
INDORAMA.NS,Indo Rama Synthetics (India) Limited
INDOSTAR.NS,Indostar Capital Finance Limited
INDOTECH.NS,Indo Tech Transformers Limited
INDOTHAI.NS,Indo Thai Securities Limited
INDOUS.NS,Indo Us Biotech Limited
INDOWIND.NS,Indowind Energy Limited
INDRAMEDCO.NS,Indraprastha Medical Corporation Limited
INDSWFTLAB.NS,Ind-Swift Laboratories Limited
INDTERRAIN.NS,Indian Terrain Fashions Limited
INDUSINDBK.NS,Indusind Bank Limited
INDUSTOWER.NS,Indus Towers Limited
INFOBEAN.NS,Infobeans Technologies Limited
INFOMEDIA.NS,Infomedia Press Limited
INFY.NS,Infosys Limited
INGERRAND.NS,Ingersoll Rand (India) Limited
INNOVACAP.NS,Innova Captab Limited
INNOVANA.NS,Innovana Thinklabs Limited
INOXGREEN.NS,Inox Green Energy Services Limited
INOXINDIA.NS,Inox India Limited
INOXWIND.NS,Inox Wind Limited
INSECTICID.NS,Insecticides (India) Limited
INSPIRISYS.NS,Inspirisys Solutions Limited
INTELLECT.NS,Intellect Design Arena Limited
INTENTECH.NS,Intense Technologies Limited
INTERARCH.NS,Interarch Building Solutions Limited
INTLCONV.NS,International Conveyors Limited
INVENTURE.NS,Inventure Growth & Securities Limited
IOB.NS,Indian Overseas Bank
IOC.NS,Indian Oil Corporation Limited
IOLCP.NS,Iol Chemicals And Pharmaceuticals Limited
IONEXCHANG.NS,Ion Exchange (India) Limited
IPCALAB.NS,Ipca Laboratories Limited
IPL.NS,India Pesticides Limited
IRB.NS,Irb Infrastructure Developers Limited
IRCON.NS,Ircon International Limited
IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited
IREDA.NS,Indian Renewable Energy Development Agency Limited
IRFC.NS,Indian Railway Finance Corporation Limited
IRIS.NS,Iris Regtech Solutions Limited
IRISDOREME.NS,Iris Clothings Limited
IRMENERGY.NS,Irm Energy Limited
ISFT.NS,Intrasoft Technologies Limited
ISGEC.NS,Isgec Heavy Engineering Limited
ISHANCH.NS,Ishan Dyes And Chemicals Limited
ITC.NS,Itc Limited
ITCHOTELS.NS,Itc Hotels Limited
ITDC.NS,India Tourism Development Corporation Limited
ITI.NS,Iti Limited
IVALUE.NS,Ivalue Infosolutions Limited
IVC.NS,Il&Fs Investment Managers Limited
IVP.NS,Ivp Limited
IXIGO.NS,Le Travenues Technology Limited
IZMO.NS,Izmo Limited
J&KBANK.NS,The Jammu & Kashmir Bank Limited
JAGRAN.NS,Jagran Prakashan Limited
JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited
JAIBALAJI.NS,Jai Balaji Industries Limited
JAICORPLTD.NS,Jai Corp Limited
JAINREC.NS,Jain Resource Recycling Limited
JAIPURKURT.NS,Nandani Creation Limited
JAMNAAUTO.NS,Jamna Auto Industries Limited
JARO.NS,Jaro Institute Of Technology Management And Research Limited
JASH.NS,Jash Engineering Limited
JAYAGROGN.NS,Jayant Agro Organics Limited
JAYBARMARU.NS,Jay Bharat Maruti Limited
JAYKAY.NS,Jaykay Enterprises Limited
JAYNECOIND.NS,Jayaswal Neco Industries Limited
JAYSREETEA.NS,Jayshree Tea & Industries Limited
JBCHEPHARM.NS,Jb Chemicals & Pharmaceuticals Limited
JBMA.NS,Jbm Auto Limited
JETFREIGHT.NS,Jet Freight Logistics Limited
JGCHEM.NS,J.G.Chemicals Limited
JHS.NS,Jhs Svendgaard Laboratories Limited
JINDALPHOT.NS,Jindal Photo Limited
JINDALPOLY.NS,Jindal Poly Films Limited
JINDALSAW.NS,Jindal Saw Limited
JINDALSTEL.NS,Jindal Steel Limited
JINDRILL.NS,Jindal Drilling And Industries Limited
JINDWORLD.NS,Jindal Worldwide Limited
JIOFIN.NS,Jio Financial Services Limited
JISLDVREQS.NS,Jain Irrigation Systems Limited
JISLJALEQS.NS,Jain Irrigation Systems Limited
JITFINFRA.NS,Jitf Infralogistics Limited
JKCEMENT.NS,Jk Cement Limited
JKIL.NS,J.Kumar Infraprojects Limited
JKIPL.NS,Jinkushal Industries Limited
JKLAKSHMI.NS,Jk Lakshmi Cement Limited
JKPAPER.NS,Jk Paper Limited
JKTYRE.NS,Jk Tyre & Industries Limited
JLHL.NS,Jupiter Life Line Hospitals Limited
JMA.NS,Jullundur Motor Agency (Delhi) Limited
JMFINANCIL.NS,Jm Financial Limited
JNKINDIA.NS,Jnk India Limited
JOCIL.NS,Jocil Limited
JPASSOCIAT.NS,Jaiprakash Associates Limited
JPOLYINVST.NS,Jindal Poly Investment And Finance Company Limited
JPPOWER.NS,Jaiprakash Power Ventures Limited
JSFB.NS,Jana Small Finance Bank Limited
JSL.NS,Jindal Stainless Limited
JSLL.NS,Jeena Sikho Lifecare Limited
JSWCEMENT.NS,Jsw Cement Limited
JSWENERGY.NS,Jsw Energy Limited
JSWHL.NS,Jsw Holdings Limited
JSWINFRA.NS,Jsw Infrastructure Limited
JSWSTEEL.NS,Jsw Steel Limited
JTEKTINDIA.NS,Jtekt India Limited
JTLIND.NS,Jtl Industries Limited
JUBLCPL.NS,Jubilant Agri And Consumer Products Limited
JUBLFOOD.NS,Jubilant Foodworks Limited
JUBLINGREA.NS,Jubilant Ingrevia Limited
JUBLPHARMA.NS,Jubilant Pharmova Limited
JUNIPER.NS,Juniper Hotels Limited
JUSTDIAL.NS,Just Dial Limited
JWL.NS,Jupiter Wagons Limited
JYOTHYLAB.NS,Jyothy Labs Limited
JYOTICNC.NS,Jyoti Cnc Automation Limited
JYOTISTRUC.NS,Jyoti Structures Limited
KABRAEXTRU.NS,Kabra Extrusion Technik Limited
KAJARIACER.NS,Kajaria Ceramics Limited
KAKATCEM.NS,Kakatiya Cement Sugar & Industries Limited
KALAMANDIR.NS,Sai Silks (Kalamandir) Limited
KALPATARU.NS,Kalpataru Limited
KALYANI.NS,Kalyani Commercials Limited
KALYANIFRG.NS,Kalyani Forge Limited
KALYANKJIL.NS,Kalyan Jewellers India Limited
KAMATHOTEL.NS,Kamat Hotels (I) Limited
KAMDHENU.NS,Kamdhenu Limited
KAMOPAINTS.NS,Kamdhenu Ventures Limited
KANANIIND.NS,Kanani Industries Limited
KANORICHEM.NS,Kanoria Chemicals & Industries Limited
KANPRPLA.NS,Kanpur Plastipack Limited
KANSAINER.NS,Kansai Nerolac Paints Limited
KAPSTON.NS,Kapston Services Limited
KARMAENG.NS,Karma Energy Limited
KARURVYSYA.NS,Karur Vysya Bank Limited
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited
KAVDEFENCE.NS,Kavveri Defence & Wireless Technologies Limited
KAYA.NS,Kaya Limited
KAYNES.NS,Kaynes Technology India Limited
KCP.NS,Kcp Limited
KCPSUGIND.NS,Kcp Sugar And Industries Corporation Limited
KDDL.NS,Kddl Limited
KEC.NS,Kec International Limited
KECL.NS,Kirloskar Electric Company Limited
KEEPLEARN.NS,Dsj Keep Learning Limited
KEI.NS,Kei Industries Limited
KELLTONTEC.NS,Kellton Tech Solutions Limited
KERNEX.NS,Kernex Microsystems (India) Limited
KESORAMIND.NS,Kesoram Industries Limited
KEYFINSERV.NS,Keynote Financial Services Limited
KFINTECH.NS,Kfin Technologies Limited
KHADIM.NS,Khadim India Limited
KHAICHEM.NS,Khaitan Chemicals & Fertilizers Limited
KHAITANLTD.NS,Khaitan (India) Limited
KHANDSE.NS,Khandwala Securities Limited
KICL.NS,Kalyani Investment Company Limited
KILITCH.NS,Kilitch Drugs (India) Limited
KIMS.NS,Krishna Institute Of Medical Sciences Limited
KINGFA.NS,Kingfa Science & Technology (India) Limited
KIOCL.NS,Kiocl Limited
KIRIINDUS.NS,Kiri Industries Limited
KIRLOSBROS.NS,Kirloskar Brothers Limited
KIRLOSENG.NS,Kirloskar Oil Engines Limited
KIRLOSIND.NS,Kirloskar Industries Limited
KIRLPNU.NS,Kirloskar Pneumatic Company Limited
KITEX.NS,Kitex Garments Limited
KKCL.NS,Kewal Kiran Clothing Limited
KMEW.NS,Knowledge Marine & Engineering Works Limited
KMSUGAR.NS,K.M.Sugar Mills Limited
KNAGRI.NS,Kn Agri Resources Limited
KNRCON.NS,Knr Constructions Limited
KOHINOOR.NS,Kohinoor Foods Limited
KOKUYOCMLN.NS,Kokuyo Camlin Limited
KOLTEPATIL.NS,Kolte - Patil Developers Limited
KOPRAN.NS,Kopran Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
KOTARISUG.NS,Kothari Sugars And Chemicals Limited
KOTHARIPET.NS,Kothari Petrochemicals Limited
KOTHARIPRO.NS,Kothari Products Limited
KPEL.NS,K.P. Energy Limited
KPIGREEN.NS,Kpi Green Energy Limited
KPIL.NS,Kalpataru Projects International Limited
KPITTECH.NS,Kpit Technologies Limited
KPRMILL.NS,K.P.R. Mill Limited
KRBL.NS,Krbl Limited
KREBSBIO.NS,Krebs Biochemicals And Industries Limited
KRIDHANINF.NS,Kridhan Infra Limited
KRISHANA.NS,Krishana Phoschem Limited
KRISHIVAL.NS,Krishival Foods Limited
KRISHNADEF.NS,Krishna Defence And Allied Industries Limited
KRITI.NS,Kriti Industries (India) Limited
KRITIKA.NS,Kritika Wires Limited
KRITINUT.NS,Kriti Nutrients Limited
KRN.NS,Krn Heat Exchanger And Refrigeration Limited
KRONOX.NS,Kronox Lab Sciences Limited
KROSS.NS,Kross Limited
KRSNAA.NS,Krsnaa Diagnostics Limited
KRYSTAL.NS,Krystal Integrated Services Limited
KSB.NS,Ksb Limited
KSCL.NS,Kaveri Seed Company Limited
